name,capital_fund,registered_address,num_employees_updates,established_year_month,category_count,main_category_name,basic_score
有限会社はしもと,,山口県防府市大字大崎１７６５番地の１,"[{""date"":""2023-03-01"",""num"":""10""},{""date"":""2023-04-01"",""num"":""10""},{""date"":""2023-05-01"",""num"":""8""},{""date"":""2023-06-01"",""num"":""8""},{""date"":""2023-07-01"",""num"":""8""},{""date"":""2023-08-01"",""num"":""8""},{""date"":""2023-09-01"",""num"":""8""},{""date"":""2023-10-01"",""num"":""8""},{""date"":""2023-11-01"",""num"":""8""},{""date"":""2023-12-01"",""num"":""8""},{""date"":""2024-01-01"",""num"":""8""},{""date"":""2024-02-01"",""num"":""8""},{""date"":""2024-03-01"",""num"":""8""},{""date"":""2024-04-01"",""num"":""8""}]",2002,7,ガス・燃料製品と原料採掘の会社,161
株式会社なか安,50000000.0,東京都八王子市暁町１丁目３６番６号,"[{""date"":""2023-03-01"",""num"":""4""},{""date"":""2023-05-01"",""num"":""6""},{""date"":""2023-06-01"",""num"":""6""},{""date"":""2023-07-01"",""num"":""5""},{""date"":""2023-08-01"",""num"":""5""},{""date"":""2023-10-01"",""num"":""5""},{""date"":""2023-11-01"",""num"":""6""},{""date"":""2023-12-01"",""num"":""6""},{""date"":""2024-01-01"",""num"":""6""},{""date"":""2024-02-01"",""num"":""6""},{""date"":""2024-03-01"",""num"":""6""},{""date"":""2024-04-01"",""num"":""6""}]",1952,3,和食・大衆料理業界の会社,200
株式会社興醸社,13912000.0,茨城県水戸市城南３丁目３番３２号,"[{""date"":""2023-03-01"",""num"":""9""},{""date"":""2023-04-01"",""num"":""9""},{""date"":""2023-05-01"",""num"":""9""},{""date"":""2023-06-01"",""num"":""9""},{""date"":""2023-07-01"",""num"":""9""},{""date"":""2023-08-01"",""num"":""9""},{""date"":""2023-09-01"",""num"":""9""},{""date"":""2023-10-01"",""num"":""9""},{""date"":""2023-11-01"",""num"":""8""},{""date"":""2023-12-01"",""num"":""9""},{""date"":""2024-01-01"",""num"":""9""},{""date"":""2024-02-01"",""num"":""9""},{""date"":""2024-03-01"",""num"":""10""},{""date"":""2024-04-01"",""num"":""10""}]",1950,1,その他食品専門商社業界の会社,117
株式会社イーシステム,,富山県富山市長江新町２丁目１－３６,"[{""date"":""2023-03-01"",""num"":""2""},{""date"":""2023-04-01"",""num"":""2""},{""date"":""2023-06-01"",""num"":""2""},{""date"":""2023-07-01"",""num"":""3""},{""date"":""2023-08-01"",""num"":""3""},{""date"":""2023-09-01"",""num"":""3""},{""date"":""2023-10-01"",""num"":""3""},{""date"":""2023-11-01"",""num"":""3""},{""date"":""2024-01-01"",""num"":""3""},{""date"":""2024-02-01"",""num"":""3""},{""date"":""2024-03-01"",""num"":""3""},{""date"":""2024-04-01"",""num"":""3""}]",2004,2,映像・CM制作業界の会社,235
株式会社丹村組,10000000.0,福岡県田川郡大任町大字今任原１９７６番地,"[{""date"":""2023-03-01"",""num"":""4""},{""date"":""2023-05-01"",""num"":""4""},{""date"":""2023-06-01"",""num"":""4""},{""date"":""2023-07-01"",""num"":""4""},{""date"":""2023-08-01"",""num"":""4""},{""date"":""2023-10-01"",""num"":""4""},{""date"":""2023-11-01"",""num"":""4""},{""date"":""2023-12-01"",""num"":""4""},{""date"":""2024-01-01"",""num"":""4""},{""date"":""2024-02-01"",""num"":""4""},{""date"":""2024-03-01"",""num"":""4""},{""date"":""2024-04-01"",""num"":""4""}]",1972,4,その他土木工事業界の会社,170
渡邊味噌醤油醸造株式会社,,宮崎県延岡市土々呂町４丁目４２０６番地,"[{""date"":""2023-03-01"",""num"":""5""},{""date"":""2023-04-01"",""num"":""5""},{""date"":""2023-05-01"",""num"":""5""},{""date"":""2023-06-01"",""num"":""5""},{""date"":""2023-07-01"",""num"":""5""},{""date"":""2023-08-01"",""num"":""5""},{""date"":""2023-09-01"",""num"":""5""},{""date"":""2023-10-01"",""num"":""5""},{""date"":""2023-11-01"",""num"":""5""},{""date"":""2023-12-01"",""num"":""5""},{""date"":""2024-01-01"",""num"":""5""},{""date"":""2024-02-01"",""num"":""5""},{""date"":""2024-03-01"",""num"":""6""},{""date"":""2024-04-01"",""num"":""6""}]",2007,3,調味料製造業界の会社,160
株式会社ジャバラ,45000000.0,大阪府大阪市中央区本町３丁目５番７号,"[{""date"":""2023-03-01"",""num"":""124""},{""date"":""2023-04-01"",""num"":""127""},{""date"":""2023-05-01"",""num"":""128""},{""date"":""2023-06-01"",""num"":""127""},{""date"":""2023-07-01"",""num"":""128""},{""date"":""2023-08-01"",""num"":""127""},{""date"":""2023-09-01"",""num"":""127""},{""date"":""2023-10-01"",""num"":""128""},{""date"":""2023-11-01"",""num"":""130""},{""date"":""2023-12-01"",""num"":""128""},{""date"":""2024-01-01"",""num"":""128""},{""date"":""2024-02-01"",""num"":""128""},{""date"":""2024-03-01"",""num"":""127""},{""date"":""2024-04-01"",""num"":""127""}]",1961,3,樹脂製部品(プラスチック製部品など)製造業界の会社,287
全日本地理空間情報収集活用推進株式会社ＡＣＡ,300000000.0,愛媛県松山市北斎院町１２５０番地,"[{""date"":""2023-03-01"",""num"":""81""},{""date"":""2023-04-01"",""num"":""81""},{""date"":""2023-05-01"",""num"":""82""},{""date"":""2023-06-01"",""num"":""79""},{""date"":""2023-07-01"",""num"":""78""},{""date"":""2023-08-01"",""num"":""78""},{""date"":""2023-09-01"",""num"":""69""},{""date"":""2023-10-01"",""num"":""69""},{""date"":""2023-11-01"",""num"":""69""},{""date"":""2023-12-01"",""num"":""69""},{""date"":""2024-01-01"",""num"":""69""},{""date"":""2024-02-01"",""num"":""69""},{""date"":""2024-03-01"",""num"":""69""},{""date"":""2024-04-01"",""num"":""69""}]",1982,3,不動産コンサルティング業界の会社,269
株式会社天野ポンプ,20000000.0,愛知県田原市大久保町黒河２２番地の２３１,"[{""date"":""2023-03-01"",""num"":""15""},{""date"":""2023-04-01"",""num"":""13""},{""date"":""2023-05-01"",""num"":""13""},{""date"":""2023-06-01"",""num"":""15""},{""date"":""2023-07-01"",""num"":""15""},{""date"":""2023-08-01"",""num"":""15""},{""date"":""2023-09-01"",""num"":""15""},{""date"":""2023-10-01"",""num"":""15""},{""date"":""2023-11-01"",""num"":""15""},{""date"":""2023-12-01"",""num"":""15""},{""date"":""2024-01-01"",""num"":""15""},{""date"":""2024-02-01"",""num"":""15""},{""date"":""2024-03-01"",""num"":""15""},{""date"":""2024-04-01"",""num"":""15""}]",1980,15,衛生設備工事業界の会社,131
株式会社渡邊建設,10000000.0,北海道滝川市西町４丁目４番３９号,"[{""date"":""2023-03-01"",""num"":""7""},{""date"":""2023-04-01"",""num"":""7""},{""date"":""2023-05-01"",""num"":""7""},{""date"":""2023-06-01"",""num"":""7""},{""date"":""2023-07-01"",""num"":""7""},{""date"":""2023-08-01"",""num"":""7""},{""date"":""2023-09-01"",""num"":""7""},{""date"":""2023-10-01"",""num"":""7""},{""date"":""2023-11-01"",""num"":""7""},{""date"":""2023-12-01"",""num"":""7""},{""date"":""2024-01-01"",""num"":""7""},{""date"":""2024-02-01"",""num"":""7""},{""date"":""2024-03-01"",""num"":""7""},{""date"":""2024-04-01"",""num"":""7""}]",1988,3,マンション・アパート賃貸業界の会社,176
